"","CBSA","MDIV","STCOU","NAME","LSAD","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","POPESTIMATE2015","POPESTIMATE2016","POPESTIMATE2017","NPOPCHG_2010","NPOPCHG_2011","NPOPCHG_2012","NPOPCHG_2013","NPOPCHG_2014","NPOPCHG_2015","NPOPCHG_2016","NPOPCHG_2017","BIRTHS2010","BIRTHS2011","BIRTHS2012","BIRTHS2013","BIRTHS2014","BIRTHS2015","BIRTHS2016","BIRTHS2017","DEATHS2010","DEATHS2011","DEATHS2012","DEATHS2013","DEATHS2014","DEATHS2015","DEATHS2016","DEATHS2017","NATURALINC2010","NATURALINC2011","NATURALINC2012","NATURALINC2013","NATURALINC2014","NATURALINC2015","NATURALINC2016","NATURALINC2017","INTERNATIONALMIG2010","INTERNATIONALMIG2011","INTERNATIONALMIG2012","INTERNATIONALMIG2013","INTERNATIONALMIG2014","INTERNATIONALMIG2015","INTERNATIONALMIG2016","INTERNATIONALMIG2017","DOMESTICMIG2010","DOMESTICMIG2011","DOMESTICMIG2012","DOMESTICMIG2013","DOMESTICMIG2014","DOMESTICMIG2015","DOMESTICMIG2016","DOMESTICMIG2017","NETMIG2010","NETMIG2011","NETMIG2012","NETMIG2013","NETMIG2014","NETMIG2015","NETMIG2016","NETMIG2017","RESIDUAL2010","RESIDUAL2011","RESIDUAL2012","RESIDUAL2013","RESIDUAL2014","RESIDUAL2015","RESIDUAL2016","RESIDUAL2017"
"323",43100,NA,NA,"Sheboygan, WI","Metropolitan Statistical Area",115507,115510,115517,115218,114794,114720,115017,115261,115127,115344,7,-299,-424,-74,297,244,-134,217,365,1324,1248,1288,1174,1279,1270,1264,226,1022,1061,1161,1025,1123,1135,1087,139,302,187,127,149,156,135,177,22,85,96,110,120,138,139,140,-153,-692,-714,-307,48,-36,-407,-95,-131,-607,-618,-197,168,102,-268,45,-1,6,7,-4,-20,-14,-1,-5
"324",43300,NA,NA,"Sherman-Denison, TX","Metropolitan Statistical Area",120877,120881,121034,121372,121750,122295,123540,125549,128206,131140,153,338,378,545,1245,2009,2657,2934,333,1550,1437,1532,1543,1561,1575,1610,299,1357,1352,1397,1344,1402,1405,1353,34,193,85,135,199,159,170,257,28,131,123,123,145,172,170,171,103,33,189,304,901,1666,2317,2501,131,164,312,427,1046,1838,2487,2672,-12,-19,-19,-17,0,12,0,5
"325",43340,NA,NA,"Shreveport-Bossier City, LA","Metropolitan Statistical Area",439811,439811,441148,445027,448421,446977,445070,444486,442403,440933,1337,3879,3394,-1444,-1907,-584,-2083,-1470,1575,6479,6630,6448,6453,6337,6214,6056,1008,4345,4321,4673,4650,4526,4664,4555,567,2134,2309,1775,1803,1811,1550,1501,120,198,605,503,510,578,509,428,641,1559,442,-3751,-4260,-2955,-4137,-3400,761,1757,1047,-3248,-3750,-2377,-3628,-2972,9,-12,38,29,40,-18,-5,1
"326",43420,NA,NA,"Sierra Vista-Douglas, AZ","Metropolitan Statistical Area",131346,131356,131782,132952,131826,129332,127054,126084,125355,124756,426,1170,-1126,-2494,-2278,-970,-729,-599,397,1775,1688,1628,1681,1604,1543,1498,266,1215,1216,1269,1248,1250,1354,1292,131,560,472,359,433,354,189,206,98,166,435,265,269,352,270,231,198,436,-2063,-3188,-3052,-1690,-1183,-1039,296,602,-1628,-2923,-2783,-1338,-913,-808,-1,8,30,70,72,14,-5,3
"327",43580,NA,NA,"Sioux City, IA-NE-SD","Metropolitan Statistical Area",168563,168563,168834,168892,168544,168481,168452,168634,169049,168618,271,58,-348,-63,-29,182,415,-431,662,2409,2461,2387,2417,2451,2405,2381,400,1520,1513,1507,1487,1605,1440,1418,262,889,948,880,930,846,965,963,58,194,245,192,261,310,323,321,-41,-1040,-1561,-1140,-1241,-967,-873,-1717,17,-846,-1316,-948,-980,-657,-550,-1396,-8,15,20,5,21,-7,0,2
"328",43620,NA,NA,"Sioux Falls, SD","Metropolitan Statistical Area",228261,228260,229123,232305,236948,242227,246657,250469,254372,259094,863,3182,4643,5279,4430,3812,3903,4722,1008,3685,3776,3705,3905,3914,3952,3904,452,1691,1680,1580,1673,1811,1752,1772,556,1994,2096,2125,2232,2103,2200,2132,131,573,587,604,653,725,744,739,176,613,1923,2506,1520,994,960,1847,307,1186,2510,3110,2173,1719,1704,2586,0,2,37,44,25,-10,-1,4
"329",43780,NA,NA,"South Bend-Mishawaka, IN-MI","Metropolitan Statistical Area",319224,319215,319022,318854,318160,318498,319267,319651,320822,321815,-193,-168,-694,338,769,384,1171,993,980,4013,3978,4029,3984,4015,3940,3948,708,3022,3021,3049,3139,3226,3039,2973,272,991,957,980,845,789,901,975,90,311,374,474,569,634,656,658,-564,-1467,-2034,-1094,-606,-1011,-381,-629,-474,-1156,-1660,-620,-37,-377,275,29,9,-3,9,-22,-39,-28,-5,-11
"330",43900,NA,NA,"Spartanburg, SC","Metropolitan Statistical Area",313268,313269,313673,314862,316589,318651,321197,324532,328751,334391,404,1189,1727,2062,2546,3335,4219,5640,979,3993,3871,3817,3835,3886,3993,3981,651,3106,3140,3280,3323,3477,3405,3403,328,887,731,537,512,409,588,578,51,195,154,113,156,191,200,200,55,150,861,1414,1889,2725,3433,4849,106,345,1015,1527,2045,2916,3633,5049,-30,-43,-19,-2,-11,10,-2,13
"331",44060,NA,NA,"Spokane-Spokane Valley, WA","Metropolitan Statistical Area",527753,527753,528416,529674,531837,534546,539319,545559,554777,564236,663,1258,2163,2709,4773,6240,9218,9459,1623,6421,6383,6651,6506,6507,6686,6697,1091,4683,4555,4971,4651,4913,5250,5281,532,1738,1828,1680,1855,1594,1436,1416,157,588,813,720,793,904,854,802,40,-1030,-398,376,2163,3754,6922,7224,197,-442,415,1096,2956,4658,7776,8026,-66,-38,-80,-67,-38,-12,6,17
"332",44100,NA,NA,"Springfield, IL","Metropolitan Statistical Area",210170,210170,210460,211666,212010,211585,211487,210990,209990,208697,290,1206,344,-425,-98,-497,-1000,-1293,665,2540,2452,2396,2395,2431,2398,2348,540,1916,1969,1973,1978,2092,2250,2240,125,624,483,423,417,339,148,108,26,187,218,209,227,251,242,239,155,425,-330,-1052,-730,-1075,-1389,-1643,181,612,-112,-843,-503,-824,-1147,-1404,-16,-30,-27,-5,-12,-12,-1,3
"333",44140,NA,NA,"Springfield, MA","Metropolitan Statistical Area",621570,621703,623455,626157,627115,628437,630479,630696,630661,631652,1752,2702,958,1322,2042,217,-35,991,1629,6660,6549,6447,6440,6224,5996,6020,1335,5438,5352,5722,5596,5719,5644,5576,294,1222,1197,725,844,505,352,444,621,3424,3320,3187,3715,3842,3962,3948,778,-1926,-3570,-2572,-2456,-4135,-4352,-3408,1399,1498,-250,615,1259,-293,-390,540,59,-18,11,-18,-61,5,3,7
"334",44180,NA,NA,"Springfield, MO","Metropolitan Statistical Area",436712,436711,437283,440209,444188,448360,451556,455484,457897,462369,572,2926,3979,4172,3196,3928,2413,4472,1381,5689,5534,5676,5692,5795,5737,5711,993,3871,3869,4073,4069,4306,4324,4268,388,1818,1665,1603,1623,1489,1413,1443,39,198,221,249,316,341,349,346,172,943,2071,2305,1297,2129,656,2690,211,1141,2292,2554,1613,2470,1005,3036,-27,-33,22,15,-40,-31,-5,-7
"335",44220,NA,NA,"Springfield, OH","Metropolitan Statistical Area",138333,138347,138265,137754,137115,136567,136233,135624,134621,134557,-82,-511,-639,-548,-334,-609,-1003,-64,435,1622,1595,1600,1556,1629,1575,1561,381,1602,1707,1748,1618,1789,1742,1680,54,20,-112,-148,-62,-160,-167,-119,13,47,26,8,16,18,19,19,-140,-578,-546,-397,-270,-458,-853,44,-127,-531,-520,-389,-254,-440,-834,63,-9,0,-7,-11,-18,-9,-2,-8
"336",44300,NA,NA,"State College, PA","Metropolitan Statistical Area",153990,154030,154280,155039,155909,158298,159637,160553,162083,162660,250,759,870,2389,1339,916,1530,577,393,1237,1320,1282,1242,1309,1294,1265,216,940,925,935,917,959,1010,1043,177,297,395,347,325,350,284,222,151,831,937,1031,1133,1203,1219,1202,-64,-362,-459,985,-95,-633,24,-853,87,469,478,2016,1038,570,1243,349,-14,-7,-3,26,-24,-4,3,6
