"","CBSA","MDIV","STCOU","NAME","LSAD","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","POPESTIMATE2015","POPESTIMATE2016","POPESTIMATE2017","NPOPCHG_2010","NPOPCHG_2011","NPOPCHG_2012","NPOPCHG_2013","NPOPCHG_2014","NPOPCHG_2015","NPOPCHG_2016","NPOPCHG_2017","BIRTHS2010","BIRTHS2011","BIRTHS2012","BIRTHS2013","BIRTHS2014","BIRTHS2015","BIRTHS2016","BIRTHS2017","DEATHS2010","DEATHS2011","DEATHS2012","DEATHS2013","DEATHS2014","DEATHS2015","DEATHS2016","DEATHS2017","NATURALINC2010","NATURALINC2011","NATURALINC2012","NATURALINC2013","NATURALINC2014","NATURALINC2015","NATURALINC2016","NATURALINC2017","INTERNATIONALMIG2010","INTERNATIONALMIG2011","INTERNATIONALMIG2012","INTERNATIONALMIG2013","INTERNATIONALMIG2014","INTERNATIONALMIG2015","INTERNATIONALMIG2016","INTERNATIONALMIG2017","DOMESTICMIG2010","DOMESTICMIG2011","DOMESTICMIG2012","DOMESTICMIG2013","DOMESTICMIG2014","DOMESTICMIG2015","DOMESTICMIG2016","DOMESTICMIG2017","NETMIG2010","NETMIG2011","NETMIG2012","NETMIG2013","NETMIG2014","NETMIG2015","NETMIG2016","NETMIG2017","RESIDUAL2010","RESIDUAL2011","RESIDUAL2012","RESIDUAL2013","RESIDUAL2014","RESIDUAL2015","RESIDUAL2016","RESIDUAL2017"
"353",46520,NA,NA,"Urban Honolulu, HI","Metropolitan Statistical Area",953207,953209,956193,966514,976299,985734,989438,993716,992761,988650,2984,10321,9785,9435,3704,4278,-955,-4111,3379,13775,13516,13762,13548,12996,13237,12927,1747,7075,7134,7229,7465,7681,8207,8401,1632,6700,6382,6533,6083,5315,5030,4526,1467,4952,7226,5795,5476,6472,5648,4839,-61,-1192,-3703,-2752,-7782,-7452,-11616,-13473,1406,3760,3523,3043,-2306,-980,-5968,-8634,-54,-139,-120,-141,-73,-57,-17,-3
"354",46540,NA,NA,"Utica-Rome, NY","Metropolitan Statistical Area",299397,299348,299257,298724,298207,297672,296636,294702,293752,293572,-91,-533,-517,-535,-1036,-1934,-950,-180,844,3280,3337,3319,3260,3177,3065,3062,817,3159,3099,3315,3060,3360,3167,3130,27,121,238,4,200,-183,-102,-68,157,741,754,802,877,916,942,930,-259,-1394,-1506,-1331,-2118,-2686,-1787,-1038,-102,-653,-752,-529,-1241,-1770,-845,-108,-16,-1,-3,-10,5,19,-3,-4
"355",46660,NA,NA,"Valdosta, GA","Metropolitan Statistical Area",139588,139666,140062,142058,144195,143003,143545,143428,144434,145437,396,1996,2137,-1192,542,-117,1006,1003,504,2160,2085,2073,2025,2024,1935,1953,340,1120,990,1191,1071,1191,1159,1239,164,1040,1095,882,954,833,776,714,52,151,404,265,253,318,250,186,162,762,574,-2393,-665,-1288,-21,110,214,913,978,-2128,-412,-970,229,296,18,43,64,54,0,20,1,-7
"356",46700,NA,NA,"Vallejo-Fairfield, CA","Metropolitan Statistical Area",413344,413344,414076,416652,420267,424384,429993,434751,440318,445458,732,2576,3615,4117,5609,4758,5567,5140,1190,5172,5067,5142,5254,5282,5087,5160,638,2875,2925,2965,3042,3211,3485,3511,552,2297,2142,2177,2212,2071,1602,1649,309,1018,1420,1072,1137,1331,1240,1154,-80,-696,124,921,2275,1401,2723,2336,229,322,1544,1993,3412,2732,3963,3490,-49,-43,-71,-53,-15,-45,2,1
"357",47020,NA,NA,"Victoria, TX","Metropolitan Statistical Area",94003,94003,94102,94738,96399,97509,98492,99592,99900,99646,99,636,1661,1110,983,1100,308,-254,335,1325,1347,1366,1358,1431,1424,1398,168,782,886,837,862,894,927,913,167,543,461,529,496,537,497,485,22,75,59,47,62,69,73,73,-85,29,1123,530,425,499,-257,-816,-63,104,1182,577,487,568,-184,-743,-5,-11,18,4,0,-5,-5,4
"358",47220,NA,NA,"Vineland-Bridgeton, NJ","Metropolitan Statistical Area",156898,156628,156719,157108,157268,156571,156475,155261,153914,152538,91,389,160,-697,-96,-1214,-1347,-1376,564,2246,2150,2031,2013,2030,1980,1912,377,1436,1408,1459,1533,1560,1413,1418,187,810,742,572,480,470,567,494,90,457,436,408,446,515,531,535,-182,-881,-1017,-1702,-1023,-2223,-2450,-2416,-92,-424,-581,-1294,-577,-1708,-1919,-1881,-4,3,-1,25,1,24,5,11
"359",47260,NA,NA,"Virginia Beach-Norfolk-Newport News, VA-NC","Metropolitan Statistical Area",1676822,1676817,1679945,1686564,1697398,1705320,1714857,1720356,1722766,1725246,3128,6619,10834,7922,9537,5499,2410,2480,5577,22664,22838,22314,22739,22750,22659,22246,3077,12754,12686,13479,13322,13887,14246,14484,2500,9910,10152,8835,9417,8863,8413,7762,1385,2872,7174,4711,4616,5775,4581,3505,-837,-6112,-6496,-5598,-4418,-9127,-10579,-8749,548,-3240,678,-887,198,-3352,-5998,-5244,80,-51,4,-26,-78,-12,-5,-38
"360",47300,NA,NA,"Visalia-Porterville, CA","Metropolitan Statistical Area",442179,442178,443060,447358,450779,453663,456452,458601,460835,464493,882,4298,3421,2884,2789,2149,2234,3658,1854,8152,8022,7767,7584,7513,7422,7292,641,2845,2814,2836,2794,2908,3024,2983,1213,5307,5208,4931,4790,4605,4398,4309,-23,169,80,158,228,433,455,466,-300,-1158,-1855,-2196,-2227,-2889,-2620,-1111,-323,-989,-1775,-2038,-1999,-2456,-2165,-645,-8,-20,-12,-9,-2,0,1,-6
"361",47380,NA,NA,"Waco, TX","Metropolitan Statistical Area",252772,252768,253804,255676,256853,258646,260298,262598,264809,268696,1036,1872,1177,1793,1652,2300,2211,3887,898,3598,3645,3612,3806,3841,3672,3726,434,2158,2160,2336,2222,2383,2255,2265,464,1440,1485,1276,1584,1458,1417,1461,39,172,191,275,341,415,441,447,515,297,-473,250,-243,462,355,1980,554,469,-282,525,98,877,796,2427,18,-37,-26,-8,-30,-35,-2,-1
"362",47460,NA,NA,"Walla Walla, WA","Metropolitan Statistical Area",62859,62859,63009,63439,63318,63380,63466,63855,63989,64614,150,430,-121,62,86,389,134,625,168,725,710,709,718,719,696,697,142,578,567,601,613,688,625,649,26,147,143,108,105,31,71,48,18,8,26,30,40,51,53,55,109,274,-295,-70,-49,309,14,519,127,282,-269,-40,-9,360,67,574,-3,1,5,-6,-10,-2,-4,3
"363",47580,NA,NA,"Warner Robins, GA","Metropolitan Statistical Area",179605,179605,180472,183502,185443,186394,187533,188044,190068,191779,867,3030,1941,951,1139,511,2024,1711,610,2491,2514,2412,2379,2434,2393,2431,297,1371,1323,1354,1362,1480,1612,1633,313,1120,1191,1058,1017,954,781,798,92,259,498,390,431,492,422,365,436,1609,267,-497,-291,-945,826,553,528,1868,765,-107,140,-453,1248,918,26,42,-15,0,-18,10,-5,-5
"364",47900,NA,NA,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Metropolitan Statistical Area",5636232,5636361,5665818,5776337,5872227,5962606,6029537,6091560,6150681,6216589,29457,110519,95890,90379,66931,62023,59121,65908,20148,80340,80090,80587,80696,81764,80921,80082,7691,31324,30921,32797,32045,33932,36039,37466,12457,49016,49169,47790,48651,47832,44882,42616,8804,37183,39715,39358,41048,45410,45606,44760,7761,23864,6843,3143,-23209,-31483,-31492,-21543,16565,61047,46558,42501,17839,13927,14114,23217,435,456,163,88,441,264,125,75
"365",47940,NA,NA,"Waterloo-Cedar Falls, IA","Metropolitan Statistical Area",167819,167819,167913,168325,168725,169697,170189,170602,169894,169892,94,412,400,972,492,413,-708,-2,523,2027,2052,2133,2113,2165,2115,2078,406,1475,1486,1536,1544,1561,1513,1549,117,552,566,597,569,604,602,529,22,174,211,312,344,369,372,372,-25,-289,-355,76,-399,-545,-1682,-903,-3,-115,-144,388,-55,-176,-1310,-531,-20,-25,-22,-13,-22,-15,0,0
"366",48060,NA,NA,"Watertown-Fort Drum, NY","Metropolitan Statistical Area",116229,116232,116601,117806,121449,119219,119044,116301,114084,114187,369,1205,3643,-2230,-175,-2743,-2217,103,491,2133,2198,2267,2097,2136,2005,1869,244,888,878,880,859,919,923,936,247,1245,1320,1387,1238,1217,1082,933,137,152,1156,570,410,650,296,97,-2,-178,1115,-4267,-1839,-4684,-3591,-923,135,-26,2271,-3697,-1429,-4034,-3295,-826,-13,-14,52,80,16,74,-4,-4
"367",48140,NA,NA,"Wausau, WI","Metropolitan Statistical Area",134063,134063,134047,134353,134397,134928,135215,135394,135195,135732,-16,306,44,531,287,179,-199,537,406,1659,1624,1603,1594,1622,1611,1605,299,1148,1139,1162,1124,1098,1213,1138,107,511,485,441,470,524,398,467,21,66,57,84,80,88,93,92,-142,-265,-497,23,-245,-424,-689,-14,-121,-199,-440,107,-165,-336,-596,78,-2,-6,-1,-17,-18,-9,-1,-8
"368",48260,NA,NA,"Weirton-Steubenville, WV-OH","Metropolitan Statistical Area",124454,124455,124326,123449,122651,122110,121463,120621,119242,118250,-129,-877,-798,-541,-647,-842,-1379,-992,288,1123,1129,1162,1114,1208,1081,1108,384,1745,1730,1664,1610,1805,1615,1676,-96,-622,-601,-502,-496,-597,-534,-568,-1,-20,-12,-12,-8,-6,-7,-8,-18,-219,-173,-10,-121,-226,-835,-410,-19,-239,-185,-22,-129,-232,-842,-418,-14,-16,-12,-17,-22,-13,-3,-6
"369",48300,NA,NA,"Wenatchee, WA","Metropolitan Statistical Area",110884,110895,111286,111915,112774,113234,113997,115662,117240,118478,391,629,859,460,763,1665,1578,1238,407,1484,1458,1431,1427,1524,1441,1491,211,950,953,965,1020,1041,1059,994,196,534,505,466,407,483,382,497,21,42,50,94,104,143,151,148,178,71,311,-86,269,1040,1046,596,199,113,361,8,373,1183,1197,744,-4,-18,-7,-14,-17,-1,-1,-3
"370",48540,NA,NA,"Wheeling, WV-OH","Metropolitan Statistical Area",147950,147951,147901,147213,146477,145894,144906,144077,142871,141254,-50,-688,-736,-583,-988,-829,-1206,-1617,384,1505,1503,1564,1473,1513,1392,1395,438,1917,1939,1967,1803,1883,1816,1806,-54,-412,-436,-403,-330,-370,-424,-411,3,7,-12,-14,-20,-17,-19,-19,16,-266,-269,-150,-626,-427,-761,-1187,19,-259,-281,-164,-646,-444,-780,-1206,-15,-17,-19,-16,-12,-15,-2,0
"371",48620,NA,NA,"Wichita, KS","Metropolitan Statistical Area",630919,630924,631789,633118,636015,638177,640429,642782,644680,645628,865,1329,2897,2162,2252,2353,1898,948,2407,9591,9260,9357,8971,8806,8787,8694,1323,5434,5380,5557,5552,5887,5828,5686,1084,4157,3880,3800,3419,2919,2959,3008,183,839,1184,1073,1131,1277,1243,1187,-367,-3688,-2131,-2695,-2248,-1796,-2292,-3235,-184,-2849,-947,-1622,-1117,-519,-1049,-2048,-35,21,-36,-16,-50,-47,-12,-12
"372",48660,NA,NA,"Wichita Falls, TX","Metropolitan Statistical Area",151306,151476,151643,150276,150982,151380,151782,149979,150326,151230,167,-1367,706,398,402,-1803,347,904,497,1950,1930,1966,1945,1945,1870,1846,300,1495,1489,1524,1538,1546,1557,1551,197,455,441,442,407,399,313,295,125,265,708,391,406,520,404,338,-150,-2133,-428,-419,-398,-2754,-367,277,-25,-1868,280,-28,8,-2234,37,615,-5,46,-15,-16,-13,32,-3,-6
"373",48700,NA,NA,"Williamsport, PA","Metropolitan Statistical Area",116111,116108,116209,116671,117188,116577,116282,115580,114708,113841,101,462,517,-611,-295,-702,-872,-867,330,1210,1310,1340,1274,1289,1170,1167,249,1306,1213,1264,1259,1276,1331,1320,81,-96,97,76,15,13,-161,-153,11,44,37,50,59,65,68,68,24,516,393,-738,-368,-778,-779,-782,35,560,430,-688,-309,-713,-711,-714,-15,-2,-10,1,-1,-2,0,0
"374",48900,NA,NA,"Wilmington, NC","Metropolitan Statistical Area",254884,254881,255700,259242,262899,267870,272125,277197,282131,288156,819,3542,3657,4971,4255,5072,4934,6025,657,2830,2852,2802,2908,2907,2905,2923,391,2149,2128,2247,2278,2462,2531,2523,266,681,724,555,630,445,374,400,42,236,226,189,197,257,250,248,493,2574,2664,4152,3354,4310,4304,5350,535,2810,2890,4341,3551,4567,4554,5598,18,51,43,75,74,60,6,27
"375",49020,NA,NA,"Winchester, VA-WV","Metropolitan Statistical Area",128472,128475,128682,129977,130951,132330,133537,134213,135593,137887,207,1295,974,1379,1207,676,1380,2294,381,1584,1489,1544,1557,1575,1605,1590,284,1082,1080,1181,1186,1226,1194,1188,97,502,409,363,371,349,411,402,23,92,97,143,198,224,232,234,81,698,479,871,636,109,739,1662,104,790,576,1014,834,333,971,1896,6,3,-11,2,2,-6,-2,-4
"376",49180,NA,NA,"Winston-Salem, NC","Metropolitan Statistical Area",640595,640554,641320,644663,647251,650449,653988,657101,661708,667733,766,3343,2588,3198,3539,3113,4607,6025,1922,7564,7503,7441,7473,7233,7421,7350,1353,5873,5888,6231,6145,6533,6561,6355,569,1691,1615,1210,1328,700,860,995,189,781,604,469,588,691,727,729,62,923,417,1580,1659,1791,3034,4311,251,1704,1021,2049,2247,2482,3761,5040,-54,-52,-48,-61,-36,-69,-14,-10
"377",49340,NA,NA,"Worcester, MA-CT","Metropolitan Statistical Area",916980,916802,918886,922380,924761,928480,932106,934835,936723,942475,2084,3494,2381,3719,3626,2729,1888,5752,2554,10000,9908,9761,9843,9532,9779,9688,1729,7586,7482,7777,7755,8179,8060,8000,825,2414,2426,1984,2088,1353,1719,1688,717,3517,3656,3700,4105,4363,4484,4472,576,-2377,-3667,-1896,-2461,-2928,-4324,-371,1293,1140,-11,1804,1644,1435,160,4101,-34,-60,-34,-69,-106,-59,9,-37
"378",49420,NA,NA,"Yakima, WA","Metropolitan Statistical Area",243231,243237,244283,246050,246428,246809,247064,248006,249323,250193,1046,1767,378,381,255,942,1317,870,1185,4334,4111,4017,4064,4069,3959,3942,423,1846,1816,1849,1873,1916,2061,2027,762,2488,2295,2168,2191,2153,1898,1915,-30,21,-66,-5,17,112,119,127,332,-736,-1866,-1793,-1967,-1313,-696,-1172,302,-715,-1932,-1798,-1950,-1201,-577,-1045,-18,-6,15,11,14,-10,-4,0
"379",49620,NA,NA,"York-Hanover, PA","Metropolitan Statistical Area",434972,434998,435426,436702,437483,438926,440444,441822,443809,446078,428,1276,781,1443,1518,1378,1987,2269,1256,5004,4838,4758,4936,4937,4881,4891,952,3740,3668,3818,3801,4128,4070,3988,304,1264,1170,940,1135,809,811,903,81,539,553,606,669,697,736,732,100,-484,-894,-54,-203,-68,452,666,181,55,-341,552,466,629,1188,1398,-57,-43,-48,-49,-83,-60,-12,-32
"380",49660,NA,NA,"Youngstown-Warren-Boardman, OH-PA","Metropolitan Statistical Area",565773,565799,564837,562271,558480,555758,553029,548846,544543,541926,-962,-2566,-3791,-2722,-2729,-4183,-4303,-2617,1414,5601,5483,5664,5663,5671,5649,5551,1725,6850,6920,7019,6723,7266,6978,6821,-311,-1249,-1437,-1355,-1060,-1595,-1329,-1270,48,175,217,237,353,375,385,381,-665,-1467,-2554,-1568,-1966,-2948,-3349,-1711,-617,-1292,-2337,-1331,-1613,-2573,-2964,-1330,-34,-25,-17,-36,-56,-15,-10,-17
"381",49700,NA,NA,"Yuba City, CA","Metropolitan Statistical Area",166892,166889,167115,167071,167174,167861,168625,169725,171243,173679,226,-44,103,687,764,1100,1518,2436,607,2587,2541,2457,2493,2503,2451,2427,317,1288,1265,1329,1325,1402,1370,1316,290,1299,1276,1128,1168,1101,1081,1111,153,439,532,400,429,524,490,438,-223,-1804,-1730,-836,-824,-510,-54,890,-70,-1365,-1198,-436,-395,14,436,1328,6,22,25,-5,-9,-15,1,-3
"382",49740,NA,NA,"Yuma, AZ","Metropolitan Statistical Area",195751,195750,197124,202581,202105,201810,203039,203558,205463,207534,1374,5457,-476,-295,1229,519,1905,2071,708,3254,3236,3074,3167,3027,3018,3014,264,1338,1436,1349,1382,1432,1512,1605,444,1916,1800,1725,1785,1595,1506,1409,44,249,545,602,721,899,849,779,803,3184,-2888,-2667,-1284,-1981,-444,-113,847,3433,-2343,-2065,-563,-1082,405,666,83,108,67,45,7,6,-6,-4
